NivelCodigo	MateriaCodigo	MateriaDescripcion	totalProfesores	conTituloCompatible	conTituloYFormacionCompatible
-1	110	BIOLOGIA                                          	552	309	280
-1	111	BOTANICA                                          	1	0	0
-1	115	BROMATOLOGIA                                      	2	1	0
-1	119	PROYECTO PEDAGOGICO (PASANTIA)                    	7	4	4
-1	124	MODELAJE                                          	1	0	0
-1	126	ANALISIS DE PRODUCTO                              	1	0	0
-1	139	CALCULO MERCANTILES Y FINANCIEROS                 	485	351	250
-1	140	CASTELLANO - EDUC.IDIOMATICA (BASICO)             	1	1	1
-1	142	COMPUTACION                                       	5	5	1
-1	152	REDACCION COMERCIAL                               	30	24	21
-1	154	INSTALACIONES NEUMATICA-HIDRAULICAS               	8	3	0
-1	155	CIENCIAS NATURALES                                	29	19	17
-1	157	METODOLOGIA DE ESTUDIO                            	1	0	0
-1	161	COMUNICACION ESCRITA                              	4	1	1
-1	167	CENTRALES Y REDES                                 	3	0	0
-1	174	ECONOMIA/AGROPECUARIA Y ADMINISTRACION RURAL      	192	3	1
-1	175	MAQUINARIAS Y APEROS AGRICOLAS                    	171	4	1
-1	183	CONTABILIDAD Y SEMINARIO CONTABLE                 	1	1	0
-1	185	CONTABILIDAD/CONTABILIDAD GENERAL                 	68	59	36
-1	190	COMUNICACION/PRINCIPIOS                           	101	66	66
-1	192	CONTABILIDAD Y GABINETE DE GESTION                	305	287	185
-1	198	CULTURA RELIGIOSA                                 	47	18	12
-1	223	DACTILOGRAFIA COMPUTARIZADA                       	2	0	0
-1	230	DIBUJO TECNICO                                    	258	47	22
-1	233	EDUCACION AMBIENTAL Y SALUD                       	66	32	22
-1	260	DISEÑO                                            	4	0	0
-1	261	DISEÑO Y PROYECTO                                 	26	0	0
-1	263	DISEÑO                                            	1	0	0
-1	269	AGROECOLOGIA                                      	3	0	0
-1	270	ECONOMIA/NOCIONES                                 	276	221	145
-1	280	MAQUINARIAS                                       	1	0	0
-1	283	EDUCACION ARTISTICA/ARTES/EDUC. PARA EL ARTE      	3156	1408	1337
-1	284	PSICOLOGIA SOCIAL                                 	1	0	0
-1	286	PERIODISMO                                        	18	6	3
-1	288	EDUCACION CRISTIANA                               	21	7	4
-1	293	EDUCACION FISICA/Y SUS TECNOLOGIAS/TEORÍA Y PRÁCT.	2752	1891	1758
-1	298	ARITMETICA (ARITM. Y TEORIA DE CONJUNTOS)         	1	1	1
-1	300	LENGUA ESPAÑOLA (CASTELLANA)/MATERNA              	1	1	0
-1	302	DESARROLLO COMUNITARIO                            	1	0	0
-1	310	ECONOMIA Y GESTION                                	3213	1805	1470
-1	313	GESTION EMPRESARIAL                               	2	2	1
-1	314	DISEÑO Y PROYECTO MECANICO                        	10	0	0
-1	318	CIENCIAS POLITICAS                                	1	0	0
-1	319	RESISTENCIA                                       	1	0	0
-1	320	ELECTRONICA                                       	47	10	1
-1	321	ELECTRONICA DIGITAL                               	23	15	1
-1	322	ELECTRONICA INDUSTRIAL                            	26	12	0
-1	323	ELECTROTECNIA                                     	45	15	1
-1	324	PRACTICA                                          	5	0	0
-1	327	FOTOGRAMETRIA(CLAS. DE CAMPO                      	1	1	0
-1	332	ELEMENTOS DE TECNOLOGIA                           	12	0	0
-1	343	METEOROLOGIA                                      	1	0	0
-1	347	EDUCACION RITMICA                                 	1	0	0
-1	352	ORIENT. EDUCACIONAL Y SOCIOLABORAL (EDUC. EN VALOR	1309	139	81
-1	353	FARMACOLOGIA                                      	99	17	10
-1	360	ESTADISTICA/APLICADA/PROBABILIDAD                 	54	34	28
-1	361	ESTABILIDAD Y RESISTENCIA DE MATERIALES           	30	12	3
-1	362	ELECTRONICA ANALOGICA                             	23	17	2
-1	365	FILOSOFIA (E.M)                                   	43	5	4
-1	367	FRANCES                                           	10	9	5
-1	368	TECNOLOGIA AUTOMOTRIZ                             	11	10	4
-1	370	FISICA                                            	3124	830	802
-1	374	FRUTICULTURA                                      	1	1	0
-1	377	FOTOGRAFIA                                        	18	2	0
-1	378	FISIOLOGIA/DEL EJERCICIO                          	1	0	0
-1	379	LABORATORIO DIESEL                                	6	0	0
-1	380	GENETICA                                          	2	1	1
-1	382	GABINETE DE GESTION                               	4	3	2
-1	383	GABINETE DE INFORMATICA - LABORATORIO             	325	276	108
-1	384	GANADO MAYOR                                      	126	85	16
-1	387	GRAFICA COMPUTARIZADA                             	25	9	1
-1	388	GANADO MENOR                                      	146	93	14
-1	391	GEOLOGIA                                          	20	0	0
-1	392	ANALISIS INDUSTRIAL ORGANICO                      	4	0	0
-1	393	PEDAGOGIA Y METODOLOGIA ESPEC. AL SORDO           	1	0	0
-1	397	POLITICA/FILOSOFIA POLITICA                       	1820	1092	958
-1	403	PORTUGUES                                         	23	5	4
-1	406	ANALISIS DEL DISCURSO                             	188	119	108
-1	407	COMUNICACION ORAL                                 	5	3	3
-1	408	LOGICA MATEMATICA (Y TEORIA DE CONJUNTOS) (ED. SUP	46	37	32
-1	409	LABORATORIO DE ELECTROTECNIA(ELECTROT.-LABORAT)   	69	35	12
-1	411	TALLER MECANICO                                   	26	9	2
-1	412	ELECTRICIDAD Y ELECTRONICA DEL AUTOMOVIL          	10	1	0
-1	413	CALCULO DIFERENCIAL E INTEGRAL                    	10	0	0
-1	414	QUIMICA ANALITICA                                 	15	14	11
-1	415	FISICO-QUIMICA                                    	16	12	9
-1	416	MICROBIOLOGIA INDUSTRIAL                          	13	3	1
-1	417	TALLER DE SERVICIOS INDUSTRIALES                  	13	2	1
-1	418	MERCADOTECNIA Y GABINETE (INFORMATICA)            	29	14	8
-1	419	SEMINARIO CONTABLE/GABINETE CONTABLE              	522	481	329
-1	420	GUARANI (GUARA ÑEE                                	4340	3961	3831
-1	421	HIGIENE HOSPITALARIA                              	1	0	0
-1	422	HIDRAULICA Y MAQUINAS HIDRAULICAS                 	1	0	0
-1	424	HORTICULTURA                                      	12	2	0
-1	426	HISTORIA DEL DISEÑO                               	15	0	0
-1	429	PATOLOGIA/PATOLOGIA GENERAL                       	87	28	6
-1	434	EQUIPOS E IMPLEMENTOS (AGRICOLA)                  	3	0	0
-1	435	INGLES                                            	2012	844	753
-1	436	INFORMATICA / APLICACIONES INFORMATICAS           	551	317	127
-1	437	INSTALACIONES/ELECT.(DIB.TEC.TALLER-DIS-PROY-PRES)	59	21	8
-1	439	INSTALACION INDUSTRIAL                            	2	0	0
-1	443	ITALIANO                                          	3	1	1
-1	452	INTRODUCCION A LA ECONOMIA                        	256	204	140
-1	454	ILUSTRACION                                       	28	9	9
-1	455	INDUSTRIA GRAFICA                                 	13	0	0
-1	459	ORIENTACION EDUCACIONAL Y RELACIONES HUMANAS      	2	0	0
-1	478	PROYECTO SUPERVISADO EN PRODUCCION VEGETAL        	1	0	0
-1	480	LABORATORIO                                       	14	4	3
-1	482	LABORATORIO DE MECANICA                           	27	1	0
-1	483	LABORATORIO DE MATERIALES Y ENSAYOS               	2	0	0
-1	486	LABORATORIO DE ELECTRONICA                        	18	13	1
-1	489	LABORATORIO DE QUIMICA/QUIMICA PRACTICA           	11	9	8
-1	492	PROYECTO EDUCATIVO DE APOYO A PRACTICA (FISICA    	1	0	0
-1	505	SANEAMIENTO / SANEAMIENTO AMBIENTAL               	1	0	0
-1	506	ALIMENTACION BASICA                               	1	0	0
-1	510	LEGISLACION                                       	3	3	3
-1	511	LEGISLACION TRIBUTARIA                            	4	0	0
-1	512	CIENCIAS SOCIALES/CIENCIAS SOCIALES Y SUS TECNOLOG	102	69	65
-1	514	LEGISLACION APLICADA                              	11	11	9
-1	519	LITERATURA EXTRANJERA (INGLESA                    	1	1	1
-1	543	GRAMATICA DESCRIPTIVA DEL CASTELLANO (ED.SUP)     	1	0	0
-1	550	LEGISLACION COMERCIO EXTERIOR                     	1	0	0
-1	551	CASTELLANO/LENG. Y LIT. CASTELL/LENG. Y LITERATURA	3975	2691	2476
-1	554	LENGUAJE DE COMPUTACION                           	2	0	0
-1	555	LITERATURA - EDUC.IDIOMATICA (BACHILLERATO)       	5	4	4
-1	562	MAQUINAS AGRICOLAS                                	3	0	0
-1	564	GEOMETRIA Y TRIGONOMETRIA (EDUC. SUPERIOR)        	1	1	1
-1	565	MANEJO Y CONSERV.DE RECURSOS NATURALES            	4	0	0
-1	570	MARKETING/INTRODUCCION/GASTRONOMICO               	8	0	0
-1	573	MATERIALES                                        	1	0	0
-1	580	MATEMATICA / MATEMATICA Y SU DIDACTICA            	3565	3120	2735
-1	582	MOTORES CI                                        	5	0	0
-1	583	MATEMATICA FINANCIERA                             	1	0	0
-1	584	MATEMATICA APLICADA (INFORM. /A LA VIDA COTIDIANA)	340	296	218
-1	585	MECANICA APLICADA                                 	33	0	0
-1	587	MECANICA/GENERAL/CUANTICA                         	2	0	0
-1	590	ORIENTACION                                       	3	2	2
-1	592	MECANICA AUTOMOTRIZ                               	1	0	0
-1	597	OPERACIONES UNITARIAS                             	14	1	0
-1	605	MAQUINAS Y EQUIPOS                                	1	0	0
-1	609	MAQUINAS Y EQUIPAMIENTOS                          	1	1	1
-1	610	MANDOS ELECTRICOS                                 	2	0	0
-1	611	MERCADOTECNIA                                     	285	251	148
-1	612	METODOLOGIA DE LA INVESTIGACION (TRAB. CIENTIFICO)	24	12	12
-1	615	MICROBIOLOGIA/MICROBIOLOGIA GENERAL               	2	0	0
-1	620	MUSICA (EDUCACION MUSICAL)                        	12	9	9
-1	621	NUTRICION/DIETETICA                               	104	43	6
-1	624	ORIENTACION EDUCACIONAL Y OCUPACIONAL             	1	0	0
-1	631	ADMINISTRACION DE LOS RECURSOS NATURALES          	2	2	1
-1	632	LEGISLACION AMBIENTAL                             	3	0	0
-1	635	ECOTURISMO                                        	16	7	2
-1	637	RECURSOS GEOLOGICOS Y EDAFOLOGICOS                	2	0	0
-1	641	TECNOLOGIA ALTERNATIVA                            	2	0	0
-1	642	SOCIOLOGIA RURAL Y URBANA                         	5	0	0
-1	649	GEODESIA/GEODESIA ASTRONOMICA                     	2	2	0
-1	650	PASTURA Y FORRAJE                                 	1	0	0
-1	652	PASANTIA                                          	82	0	0
-1	660	PRACTICA DE CAMPO                                 	1	0	0
-1	665	PRACTICA COMERCIAL                                	1	0	0
-1	675	PRODUCCION VEGETAL                                	2	0	0
-1	676	PRODUCCION ANIMAL                                 	2	1	0
-1	683	PLANIFICACION Y ELABORACION DE PROYECTO           	85	0	0
-1	687	ENFERMERIA(FUNDAMENTOS)/INTROD.A LA ENFER./BASICA 	5	3	1
-1	690	PUBLICIDAD                                        	33	3	1
-1	691	PROYECTO / SOCIAL                                 	1	0	0
-1	693	PSICOLOGIA (DEPORTIVA)                            	3024	319	157
-1	697	QUIMICA                                           	2763	1184	1045
-1	699	TEJIDO ARTESANAL                                  	2	0	0
-1	700	SILVICULTURA                                      	1	0	0
-1	713	SALUD COMUNITARIA                                 	4	0	0
-1	715	SALUD PUBLICA/ENFERMERIA SALUD PUBLICA            	6	2	1
-1	716	SOLDADURA/TRABAJO DE SOLDADURAS                   	1	0	0
-1	720	SOCIOLOGIA                                        	1899	1575	1334
-1	730	SEGURIDAD E HIGIENE/ALIMENTARIA                   	11	1	0
-1	731	SEGURIDAD E HIGIENE INDUSTRIAL                    	17	3	1
-1	742	SISTEMA OPERATIVO                                 	1	1	0
-1	744	SEMINARIO/DE LA FILOSOFIA/INTERDISCIPL/DE HISTORIA	4	2	1
-1	756	TECNICAS INSTRUMENTALES                           	39	0	0
-1	759	BASES TEORICAS DE LA EVALUACION (EDUC. SUPERIOR)  	1	0	0
-1	761	DIAGNOSTICO DE LA EDUCAC. PARAGUAYA/HISTORIA      	4	0	0
-1	770	TALLER                                            	9	0	0
-1	772	TECNOLOGIA DE ALIMENTOS/ALIMENTARIA               	17	0	0
-1	773	TECNOLOGIA DE LA ENERGIA                          	15	0	0
-1	778	TALLER DE INFORMATICA                             	1	0	0
-1	780	JAPONES                                           	1	0	0
-1	781	TALLER DE DISEÑO                                  	23	8	6
-1	784	TECNOLOGIA TEXTIL                                 	3	0	0
-1	786	GABINETE DE INFORMATICA - HARDWARE                	196	173	61
-1	787	GABINETE DE INFORMATICA - SOFTWARE                	273	231	88
-1	796	ORGANIZACION DEL LENGUAJE (EJA)                   	1	0	0
-1	816	RECURSOS NATURALES (DEL PARAGUAY)                 	16	9	9
-1	831	REFRIGERACION Y CALEFAC.DE INSTALACIONES          	10	3	1
-1	841	TOPOGRAFIA (TEORIA)                               	6	3	0
-1	862	LENGUA Y LITERATURA GUARANI                       	21	14	12
-1	865	CONTABILIDAD FINANCIERA                           	1	0	0
-1	875	TECNOLOGIA MECANICA                               	25	8	3
-1	889	DERECHO POLITICO                                  	1	0	0
-1	892	ANTROPOLOGIA SOCIAL Y CULTURAL                    	2330	1250	990
-1	895	PRODUCCION AGRICOLA DE RENTA                      	1	0	0
-1	903	HOTELERIA                                         	19	9	0
-1	904	GASTRONOMIA                                       	21	5	0
-1	926	ENTRENAMIENTO OPERACIONAL                         	2	0	0
-1	927	METODOS Y TIEMPOS                                 	1	0	0
-1	933	ANATOMIA                                          	21	6	5
-1	934	ECONOMIA                                          	6	0	0
-1	935	NUTRICION DEL DEPORTISTA                          	21	9	1
-1	936	CATASTRO                                          	1	0	0
-1	937	CARTOGRAFIA                                       	1	1	0
-1	939	CHASSIS                                           	1	0	0
-1	942	TOPOGRAFIA (PRACTICA)                             	16	1	1
-1	955	ENFERMEDADES DE ADULTOS                           	2	0	0
-1	956	CALIDAD / GESTION DE CALIDAD                      	1	1	1
-1	992	AGUA                                              	1	0	0
-1	995	PLAN OPTATIVO/PLAN DIFERENCIADO                   	3299	0	0
-1	999	NO CORRESPONDE                                    	13	0	0
-1	1003	PROYECTO INDUSTRIAL                               	10	0	0
-1	1004	ECONOMIA AGROPECUARIA                             	5	0	0
-1	1006	COOPERATIVISMO / INTRODUCCION                     	1	0	0
-1	1013	CLASIFICACION DE CAMPO                            	1	0	0
-1	1014	FOTO E INTERPRETACION                             	1	0	0
-1	1043	PROFETAS                                          	1	0	0
-1	1058	PROYECTO DE PRODUCCION ARTESANAL                  	1	0	0
-1	1073	QUIMICA INORGANICA                                	2	1	1
-1	1187	MOLDES ARTESANALES                                	2	0	0
-1	1189	LEGISLACION PROFESIONAL                           	1	1	0
-1	1190	RESTITUCION FOTOGRAMETRICA                        	1	1	0
-1	1192	ADMINISTRACION TURISTICA                          	22	6	0
-1	1193	TURISMO                                           	1	0	0
-1	1215	CIENCIAS BASICAS APLICADAS                        	104	40	38
-1	1245	COMUNICACION ORAL Y ESCRITA                       	257	23	15
-1	1264	NUTRICION HUMANA 2                                	1	1	0
-1	1317	TORNO                                             	1	0	0
-1	1360	ARTES Y SUS TECNOLOGIAS                           	1	0	0
-1	1380	LABORATORIO DE CIENC. BASIC. Y FUND. DE BIOSEGURID	5	3	3
-1	1397	FRUTICULTURA-SILVICULTURA                         	5	2	0
-1	1398	FRUTICULTURA-SILVICULTURA-HORTICULTURA            	202	105	23
-1	1399	AGRICULTURA Y PASTURA                             	198	98	19
-1	1400	SISTEMA DE TRANSMISIÓN                            	2	0	0
-1	1401	PLANIFICACION Y GESTION DE UN TALLER A            	2	0	0
-1	1402	ELECTROHIDRAÚLICA                                 	1	0	0
-1	1403	FILOSOFIA Y ANTROPOLOGÍA SOCIAL                   	3262	259	220
-1	1404	ORIENT.EDUC.Y SOCIOLABORAL SERV.SOCIAL Y PROD.COMU	5285	712	485
-1	1405	INVESTIGACIÓN SOCIAL Y ESTADÍSTICA                	3035	1908	1633
-1	1406	AGROECOLOGIA-METEROLOGÍA-BIOLOGIA GRAL.           	74	18	5
-1	1407	ADMIN.RECURSOS NATUR.GEOLOGICOS Y EDAFOLOGICOS    	63	0	0
-1	1408	LEGISLACIÓN AMBIENTAL-EVAL. IMPACTO AMBIENTAL     	64	21	10
-1	1409	METOD.DE LA INVEST. SOCIOLOGIA.RURAL Y URBANA     	63	27	22
-1	1410	DISEÑO Y ELAB. DE PROY.ECONOMÍA AMBIENTAL         	52	0	0
-1	1411	INSTRUMENTAL Y GEODESIA                           	2	2	0
-1	1414	DERECHO DE FAMILIA                                	1	0	0
-1	1416	CONTABILIDAD Y LEGISLACIÓN APLICADA               	644	510	343
-1	1417	TURISMO Y ECOTURISMO                              	19	11	2
-1	1418	ENFERMERÍA Y PRÁCTICA                             	156	112	21
-1	1419	SALUD PÚBLICA Y COMUNITARIA                       	182	98	23
-1	1420	DISEÑO.PROYECT.YPRESUP.Y ANALISIS DE PRODUCTOS    	5	0	0
-1	1421	PLANEAM.                                          	5	1	0
-1	1422	ENTRENAMIENTO OPERACIONAL                         	7	0	0
-1	1423	TALLER MECANICO.-SEG.e HIG.-ELECTROTECNIA         	4	1	0
-1	1424	TALLER AUTOMOTRIZ-SEGURIDAD e HIGIENE             	14	10	4
-1	1425	INSTALACIÓN INDUSTRIAL -CÁLCULOS MECÁNICOS        	22	3	0
-1	1426	TALLER MECÁNICO -MANTEN. MECAN.Y TECN. MATERIALES 	16	7	1
-1	1427	DIBUJO                                            	7	0	0
-1	1428	LABORAT. Y TECNOL.(MATE.YTECN.DE CONST Y LABORAT.)	48	12	3
-1	1429	TALLER DE MECÁNICA-SEGURIDAD e HIGIENE            	32	9	5
-1	1435	GEOLOGIA Y EDUCACION AMBIENTAL Y SALUD            	742	50	39
-1	1436	TRABAJO ARTESANALES                               	4	0	0
-1	1437	EQUIPOS ARTESANALES                               	2	0	0
-1	1438	MODELAJE E INFORMATICA                            	3	0	0
-1	1439	PROYECTO Y DIBUJO TECNICO                         	42	28	10
-1	1440	TALLER E INSTALACIONES                            	38	0	0
-1	1442	TECNOLOG. ALTERNATIVA-INDUST. ALIMENT. Y ORGANICAS	24	0	0
-1	1480	HIDROLOGIA                                        	2	0	0
-1	1485	METACOGNICION COMO ESTRAT. PARA EL MEJORAMIENTO   	1	0	0
-1	1486	LOGICA MATEMATICA Y ESTADISTICA                   	673	536	452
-1	1489	QUIMICA INORGANICA Y ORGANICA                     	4	3	3
-1	1590	DISEÑO MECANICO                                   	1	0	0
22	1	ARTE ELEMENTAL                                    	1	0	0
22	3	MADERA (TALLER)                                   	1	0	0
22	4	COMUNICACION SOCIAL/MEDIOS DE COMUN. SOCIAL       	2	0	0
22	5	HISTORIA Y GEOGRAFIA                              	3114	2229	2001
22	6	PROYECTO EDUCATIVO/INSTITUCIONAL/ELABORACION      	1	0	0
22	7	PROYECTO EDUCATIVO COMUNITARIO/PARTIC. COMUNITARIA	42	10	8
22	8	ORTOGRAFIA                                        	1	0	0
22	10	INVESTIGACION CIENTIF/SOCIAL/INICIACION/DIDACT/ACC	35	16	13
22	12	RELIGION / CATEQUESIS/ ESTUDIO BIBLICO            	32	10	5
22	13	CIENCIAS DE LA NATURALEZA Y SALUD                 	2901	1447	1350
22	15	ACTIVIDAD DE REFUERZO                             	3	0	0
22	19	EXPRESION MUSICAL O LENGUAJE MUSICAL              	1	0	0
22	23	ADMINISTRACION FINANCIERA                         	155	12	6
22	27	EXPRESION PLASTICA (GRAFICA-VISUAL)               	1	0	0
22	28	ADMINISTRACION DE EMPRESAS                        	407	364	221
22	29	DANZA PARAGUAYA/DANZA Y SU DIDACTICA              	13	9	7
22	34	PUERICULTURA                                      	1	0	0
22	37	TRABAJO Y TECNOLOGIA                              	5	1	1
22	38	EDUCACION/FORMACION ETICA Y CIUDADANA             	3021	2002	1809
22	39	SOCIOLOGIA Y ANTROPOLOGIA CULTURAL                	438	69	48
22	40	ADMINISTRACION Y VENTA                            	1	0	0
22	41	ADMINISTRACION Y MANTENIMIENTO INDUSTRIAL         	1	0	0
22	42	ADMINISTRACION Y LEGISLACION SANITARIA            	1	0	0
22	44	AGRICULTURA                                       	1	1	0
22	47	ALEMAN                                            	23	14	6
22	48	TEATRO                                            	19	11	10
22	49	ALGORITMIA/ALGORITMICA                            	196	144	51
22	51	DISEÑO TECNICO                                    	1	0	0
22	56	ANATOMIA Y FISIOLOGIA                             	53	13	4
22	57	ANTROPOLOGIA/ANTROPOLOGIA CULTURAL                	1	0	0
22	58	APLICACION DE LA LOGICA DIGITAL                   	1	0	0
22	66	ANALISIS INSTRUMENTAL                             	8	0	0
22	67	ANALISIS INDUSTRIAL                               	8	0	0
22	75	ARTES PLASTICAS/ARTES PLASTICAS Y SUS DIDACTICAS  	10	9	8
22	83	AVICULTURA                                        	1	0	0
22	92	FORMACION HUMANA                                  	1	1	1
22	96	CONFITERIA                                        	1	0	0
22	98	COSMOGRAFIA                                       	1	1	1
22	102	SALUD (EDUC SANITARIA/EDUC P SALUD)               	93	25	20
22	110	BIOLOGIA                                          	547	308	280
22	111	BOTANICA                                          	1	0	0
22	119	PROYECTO PEDAGOGICO (PASANTIA)                    	4	3	3
22	139	CALCULO MERCANTILES Y FINANCIEROS                 	289	228	169
22	140	CASTELLANO - EDUC.IDIOMATICA (BASICO)             	1	1	1
22	142	COMPUTACION                                       	5	5	1
22	152	REDACCION COMERCIAL                               	16	13	12
22	154	INSTALACIONES NEUMATICA-HIDRAULICAS               	4	1	0
22	155	CIENCIAS NATURALES                                	19	12	10
22	157	METODOLOGIA DE ESTUDIO                            	1	0	0
22	161	COMUNICACION ESCRITA                              	4	1	1
22	167	CENTRALES Y REDES                                 	3	0	0
22	174	ECONOMIA/AGROPECUARIA Y ADMINISTRACION RURAL      	20	0	0
22	175	MAQUINARIAS Y APEROS AGRICOLAS                    	22	0	0
22	183	CONTABILIDAD Y SEMINARIO CONTABLE                 	1	1	0
22	185	CONTABILIDAD/CONTABILIDAD GENERAL                 	38	30	16
22	192	CONTABILIDAD Y GABINETE DE GESTION                	218	207	135
22	198	CULTURA RELIGIOSA                                 	42	15	11
22	223	DACTILOGRAFIA COMPUTARIZADA                       	1	0	0
22	230	DIBUJO TECNICO                                    	144	32	13
22	233	EDUCACION AMBIENTAL Y SALUD                       	25	10	8
22	261	DISEÑO Y PROYECTO                                 	12	0	0
22	270	ECONOMIA/NOCIONES                                 	190	155	99
22	283	EDUCACION ARTISTICA/ARTES/EDUC. PARA EL ARTE      	3146	1404	1333
22	284	PSICOLOGIA SOCIAL                                 	1	0	0
22	286	PERIODISMO                                        	11	3	2
22	288	EDUCACION CRISTIANA                               	20	7	4
22	293	EDUCACION FISICA/Y SUS TECNOLOGIAS/TEORÍA Y PRÁCT.	2564	1778	1654
22	300	LENGUA ESPAÑOLA (CASTELLANA)/MATERNA              	1	1	0
22	302	DESARROLLO COMUNITARIO                            	1	0	0
22	310	ECONOMIA Y GESTION                                	3049	1719	1402
22	313	GESTION EMPRESARIAL                               	1	1	1
22	314	DISEÑO Y PROYECTO MECANICO                        	5	0	0
22	318	CIENCIAS POLITICAS                                	1	0	0
22	320	ELECTRONICA                                       	23	3	0
22	321	ELECTRONICA DIGITAL                               	10	7	0
22	322	ELECTRONICA INDUSTRIAL                            	12	4	0
22	323	ELECTROTECNIA                                     	23	11	1
22	324	PRACTICA                                          	1	0	0
22	332	ELEMENTOS DE TECNOLOGIA                           	4	0	0
22	347	EDUCACION RITMICA                                 	1	0	0
22	352	ORIENT. EDUCACIONAL Y SOCIOLABORAL (EDUC. EN VALOR	664	82	46
22	353	FARMACOLOGIA                                      	51	10	7
22	360	ESTADISTICA/APLICADA/PROBABILIDAD                 	54	34	28
22	361	ESTABILIDAD Y RESISTENCIA DE MATERIALES           	10	4	0
22	362	ELECTRONICA ANALOGICA                             	10	7	0
22	365	FILOSOFIA (E.M)                                   	43	5	4
22	367	FRANCES                                           	10	9	5
22	368	TECNOLOGIA AUTOMOTRIZ                             	2	1	1
22	370	FISICA                                            	2876	790	767
22	377	FOTOGRAFIA                                        	13	1	0
22	378	FISIOLOGIA/DEL EJERCICIO                          	1	0	0
22	379	LABORATORIO DIESEL                                	2	0	0
22	380	GENETICA                                          	2	1	1
22	383	GABINETE DE INFORMATICA - LABORATORIO             	202	178	73
22	384	GANADO MAYOR                                      	13	9	2
22	387	GRAFICA COMPUTARIZADA                             	18	8	1
22	388	GANADO MENOR                                      	16	12	1
22	391	GEOLOGIA                                          	20	0	0
22	392	ANALISIS INDUSTRIAL ORGANICO                      	4	0	0
22	393	PEDAGOGIA Y METODOLOGIA ESPEC. AL SORDO           	1	0	0
22	397	POLITICA/FILOSOFIA POLITICA                       	1817	1091	957
22	403	PORTUGUES                                         	21	5	4
22	406	ANALISIS DEL DISCURSO                             	188	119	108
22	407	COMUNICACION ORAL                                 	5	3	3
22	408	LOGICA MATEMATICA (Y TEORIA DE CONJUNTOS) (ED. SUP	43	36	31
